play_name,character,act,scene,sentence,text,Unnamed: 6,Unnamed: 7,Unnamed: 8,tokens
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,15,"So soon he profits in divinity,",,,,"['soon', 'profits', 'divinity']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,16,"The fruitful plot of scholarism grac?d,",,,,"['fruitful', 'plot', 'scholarism', 'grac', '\x99d']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,17,"That shortly he was grac?d with doctor?s name,",,,,"['shortly', 'grac', '\x99d', 'doctor', '\x99s', 'name']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,18,Excelling all whose sweet delight disputes,,,,"['Excelling', 'whose', 'sweet', 'delight', 'disputes']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,19,In heavenly matters of theology;,,,,"['heavenly', 'matters', 'theology']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,20,"Till swoln with cunning, of a self-conceit,",,,,"['Till', 'swoln', 'cunning', 'self-conceit']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,21,"His waxen wings did mount above his reach,",,,,"['waxen', 'wings', 'mount', 'reach']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,22,"And, melting, heavens conspir?d his overthrow;",,,,"['melting', 'heavens', 'conspir', '\x99d', 'overthrow']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,23,"For, falling to a devilish exercise,",,,,"['falling', 'devilish', 'exercise']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,24,"And glutted now with learning?s golden gifts,",,,,"['glutted', 'learning', '\x99s', 'golden', 'gifts']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,25,He surfeits upon cursed necromancy;,,,,"['surfeits', 'upon', 'cursed', 'necromancy']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,26,"Nothing so sweet as magic is to him,",,,,"['Nothing', 'sweet', 'magic']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,27,Which he prefers before his chiefest bliss:,,,,"['prefers', 'chiefest', 'bliss']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CHORUS,none,none,28,And this the man that in his study sits.,,,,"['man', 'study', 'sits']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,"Settle thy studies, Faustus, and begin",,,,"['Settle', 'studies', 'Faustus', 'begin']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,2,To sound the depth of that thou wilt profess:,,,,"['sound', 'depth', 'wilt', 'profess']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,3,"Having commenc?d, be a divine in shew,",,,,"['commenc', '\x99d', 'divine', 'shew']"
