play_name,character,act,scene,sentence,text,tokens
The Jew of Malta,BARABAS,ACT I.,none,13,Ego mihimet sum semper proximus:,"['Ego', 'mihimet', 'sum', 'semper', 'proximus']"
The Jew of Malta,BARABAS,ACT I.,none,14,"Why, let 'em enter, let 'em take the town.","['let', ""'em"", 'enter', 'let', ""'em"", 'take', 'town']"
The Jew of Malta,FERNEZE,ACT I.,none,1,"Now, bassoes,  what demand you at our hands?","['bassoes', 'demand', 'hands']"
The Jew of Malta,FIRST BASSO,ACT I.,none,1,"Know, knights of Malta, that we came from Rhodes,","['Know', 'knights', 'Malta', 'came', 'Rhodes']"
The Jew of Malta,FIRST BASSO,ACT I.,none,2,"]From Cyprus, Candy, and those other isles","['Cyprus', 'Candy', 'isles']"
The Jew of Malta,FIRST BASSO,ACT I.,none,3,That lie betwixt the Mediterranean seas.,"['lie', 'betwixt', 'Mediterranean', 'seas']"
The Jew of Malta,FERNEZE,ACT I.,none,1,"What's Cyprus, Candy, and those other isles","['Cyprus', 'Candy', 'isles']"
The Jew of Malta,FERNEZE,ACT I.,none,2,To us or Malta? what at our hands demand ye?,"['Malta', 'hands', 'demand']"
The Jew of Malta,CALYMATH,ACT I.,none,1,The ten years' tribute that remains unpaid.,"['ten', 'years', 'tribute', 'remains', 'unpaid']"
The Jew of Malta,FERNEZE,ACT I.,none,1,"Alas, my lord, the sum is over-great!","['lord', 'sum', 'over-great']"
The Jew of Malta,FERNEZE,ACT I.,none,2,I hope your highness will consider us.,"['hope', 'highness', 'consider']"
The Jew of Malta,CALYMATH,ACT I.,none,1,"I wish, grave governor,  'twere in my power","['wish', 'grave', 'governor', ""'twere"", 'power']"
The Jew of Malta,CALYMATH,ACT I.,none,2,"To favour you; but 'tis my father's cause,","['favour', ""'t"", 'father', 'cause']"
The Jew of Malta,CALYMATH,ACT I.,none,3,"Wherein I may not, nay, I dare not dally.","['Wherein', 'may', 'nay', 'dare', 'dally']"
The Jew of Malta,FERNEZE,ACT I.,none,1,"Then give us leave, great Selim Calymath.","['give', 'leave', 'great', 'Selim', 'Calymath']"
The Jew of Malta,CALYMATH,ACT I.,none,1,"Stand all aside,  and let the knights determine;","['Stand', 'aside', 'let', 'knights', 'determine']"
The Jew of Malta,CALYMATH,ACT I.,none,2,"And send to keep our galleys under sail,","['send', 'keep', 'galleys', 'sail']"
The Jew of Malta,CALYMATH,ACT I.,none,3,For happily  we shall not tarry here.,"['happily', 'shall', 'tarry']"
The Jew of Malta,CALYMATH,ACT I.,none,4,"Now, governor, how are you resolv'd?","['governor', 'resolv']"
The Jew of Malta,FERNEZE,ACT I.,none,1,Thus; since your hard conditions are such,"['Thus', 'since', 'hard', 'conditions']"
The Jew of Malta,FERNEZE,ACT I.,none,2,"That you will needs have ten years' tribute past,","['needs', 'ten', 'years', 'tribute', 'past']"
The Jew of Malta,FERNEZE,ACT I.,none,3,We may have time to make collection,"['may', 'time', 'make', 'collection']"
The Jew of Malta,FERNEZE,ACT I.,none,4,Amongst the inhabitants of Malta for't.,"['Amongst', 'inhabitants', 'Malta', ""for't""]"
The Jew of Malta,FIRST BASSO,ACT I.,none,1,That's more than is in our commission.,['commission']
The Jew of Malta,CALYMATH,ACT I.,none,1,"What, Callapine! a little courtesy:","['Callapine', 'little', 'courtesy']"
The Jew of Malta,CALYMATH,ACT I.,none,2,Let's know their time; perhaps it is not long;,"['Let', 'know', 'time', 'perhaps', 'long']"
The Jew of Malta,CALYMATH,ACT I.,none,3,And 'tis more kingly to obtain by peace,"[""'t"", 'kingly', 'obtain', 'peace']"
