play_name,character,act,scene,sentence,text
The Jew of Malta,FIRST BASSO,ACT I.,none,1,"Know, knights of Malta, that we came from Rhodes,"
The Jew of Malta,FIRST BASSO,ACT I.,none,2,"]From Cyprus, Candy, and those other isles"
The Jew of Malta,FIRST BASSO,ACT I.,none,3,That lie betwixt the Mediterranean seas.
The Jew of Malta,FERNEZE,ACT I.,none,1,"What's Cyprus, Candy, and those other isles"
The Jew of Malta,FERNEZE,ACT I.,none,2,To us or Malta? what at our hands demand ye?
The Jew of Malta,CALYMATH,ACT I.,none,1,The ten years' tribute that remains unpaid.
The Jew of Malta,FERNEZE,ACT I.,none,1,"Alas, my lord, the sum is over-great!"
The Jew of Malta,FERNEZE,ACT I.,none,2,I hope your highness will consider us.
The Jew of Malta,CALYMATH,ACT I.,none,1,"I wish, grave governor,  'twere in my power"
The Jew of Malta,CALYMATH,ACT I.,none,2,"To favour you; but 'tis my father's cause,"
The Jew of Malta,CALYMATH,ACT I.,none,3,"Wherein I may not, nay, I dare not dally."
The Jew of Malta,FERNEZE,ACT I.,none,1,"Then give us leave, great Selim Calymath."
The Jew of Malta,CALYMATH,ACT I.,none,1,"Stand all aside,  and let the knights determine;"
The Jew of Malta,CALYMATH,ACT I.,none,2,"And send to keep our galleys under sail,"
The Jew of Malta,CALYMATH,ACT I.,none,3,For happily  we shall not tarry here.
The Jew of Malta,CALYMATH,ACT I.,none,4,"Now, governor, how are you resolv'd?"
The Jew of Malta,FERNEZE,ACT I.,none,1,Thus; since your hard conditions are such
The Jew of Malta,FERNEZE,ACT I.,none,2,"That you will needs have ten years' tribute past,"
The Jew of Malta,FERNEZE,ACT I.,none,3,We may have time to make collection
The Jew of Malta,FERNEZE,ACT I.,none,4,Amongst the inhabitants of Malta for't.
The Jew of Malta,FIRST BASSO,ACT I.,none,1,That's more than is in our commission.
The Jew of Malta,CALYMATH,ACT I.,none,1,"What, Callapine! a little courtesy:"
The Jew of Malta,CALYMATH,ACT I.,none,2,Let's know their time; perhaps it is not long;
The Jew of Malta,CALYMATH,ACT I.,none,3,And 'tis more kingly to obtain by peace
The Jew of Malta,CALYMATH,ACT I.,none,4,Than to enforce conditions by constraint.
The Jew of Malta,CALYMATH,ACT I.,none,5,"What respite ask you, governor?"
The Jew of Malta,FERNEZE,ACT I.,none,1,But a month.
The Jew of Malta,CALYMATH,ACT I.,none,1,We grant a month; but see you keep your promise.
The Jew of Malta,CALYMATH,ACT I.,none,2,"Now launch our galleys back again to sea,"
The Jew of Malta,CALYMATH,ACT I.,none,3,"Where we'll attend the respite you have ta'en,"
The Jew of Malta,CALYMATH,ACT I.,none,4,And for the money send our messenger.
The Jew of Malta,CALYMATH,ACT I.,none,5,"Farewell, great governor, and brave knights of Malta."
The Jew of Malta,FERNEZE,ACT I.,none,1,And all good fortune wait on Calymath!
The Jew of Malta,FERNEZE,ACT I.,none,2,Go one and call those Jews of Malta hither:
The Jew of Malta,FERNEZE,ACT I.,none,3,Were they not summon'd to appear to-day?
The Jew of Malta,FIRST OFFICER,ACT I.,none,1,"They were, my lord; and here they come."
